가게명,가게ID
강고집,1256541174
역전회관,12913726
석양집,18312696
목우촌한우명가,18313187
깃뜰,1793807845
소나무,18297487
마포닭곰탕,36314230
육전국밥,1409104880
닥터로빈 공덕점,20131928
마포원조주물럭,12850029
킴스맘,1027425732
놀부부대찌개,32625658
개성손만두,1460473462
"엔제리너스
L7홍대점",1419188474
"롯데리아
홍대",1578153116
이디야커피 마포공덕역점,1456208793
이디야커피 망원중앙점,37521524
진평925,ID 추출 실패
부영각,11626202
안다미로,38520705
샤브향 마포광흥창역점,37815591
정선메밀고을,1796653994
엉터리생고기 흑석신관,1191011624
엉터리생고기 흑석본점,12880688
가락돈가스,1933993353
2도에이징,1654876374
"2도에이징
남성역점",1163468430
단아한정식,1832231712
육전국밥,1257442207
닥터로빈 흑석점,36406716
봉평메밀막국수,19032866
한솔쌈밥,547979386
홍콩반점,37407171
성대순대촌,38522497
시래불고기 화풍정,13124594
엔제리너스 이수역점,13579411
"롯데리아
보라매타운",1661121335
"롯데리아
중앙대",19480300
"롯데리아
노량진",13404173
이디야커피 상도중앙점,1273284774
백제갈비,11686932
상도면옥,37648658
농실가,1714423651
세종대왕,32420162
희래등,11633852
호순네집,1405815470
휘카페,1055786331
원골전통순대국전문,21061197
옛날할머니보쌈,1510419800
만복보쌈,32144170
마살라키친,1640391289
심쿵커피,1759429960
성원유황오리,1976413373
진성각,13083201
안흥갈비답십리점,37277952
네남자,1346017896
오레노 도쿄,1102328108
김씨네 돌솥밥 순두부,1798992075
나주곰탕,1253567473
중국성,18032847
천호낙지,37848614
유성관,1263242356
다복,1164270534
명륜진사갈비,1373951260
경성농장,1767132107
고기여행,1422607169
본추추어탕,1787821719
마루샤브,30816636
경동한우,36952527
이디야커피 경희대캠퍼스점,1573931902
돈풍숯불갈비,1010338214
흥부골숯불갈비,21816536
흥부골숯불돼지갈비,18068964
공릉닭한마리,1147531267
현재카츠,1741114933
윤짬뽕,1062359860
금강산감자탕,13018401
카페에덴,1769606064
양촌리 방학점,1338993814
신의주 찹쌀순대,1090575135
당고개 숯불닭갈비,1497563103
토프레소 방학역점,20373506
"이디야커피 
선덕고사거리점",36255331
카페더로비,1243050861
파삼솥뚜껑삼겹살,1617413361
감포면옥,13018653
설담재,11580100
고루모도시락,251826552
하누소,19769534
황금정원,1238538658
락궁,1715927647
망향비빔국수,1931534453
